Gender,PhD year,Hire year,
M,1978,1978,R1
M,2002,2005,R1
M,2000,2001,R1
F,1980,X,R1
F,2015,2016,R1
M,1984,1986,R1
M,1985,X,R1
M,1979,1979,R1
M,X,2010,R1
F,2007,2012,R1
F,2008,2013,R1
F,1993,2002,R1
M,2000,2007,R1
M,2009,2011,R1
M,1999,2001,R1
M,2010,2016,R1
M,X,X,R1
M,X,X,R1
M,1994,1994,R1
M,2003,2005,R1
F,1971,1979,R1
M,2000,2003,R1
M,2008,2012,R1
F,1993,1995,R1
F,1995,2000,R1
M,2008,2013,R1
F,2011,2014,R1
M,2009,2014,R1
M,1983,1987,R1
M,1986,1993,R1
M,2006,2015,R1
M,2007,2009,R1
M,1983,1985,R1
M,1978,1983,R1
F,1977,1998,R1
M,1972,1989,R1
M,1990,1995,R1
M,1987,1989,R1
M,1986,1987,R1
M,1994,1997,R1
M,2012,2014,R1
F,2009,2011,R1
M,1967,X,R1
M,2004,2011,R1
M,1965,1977,R1
F,2011,2013,R1
M,1974,X,R1
M,1982,X,R1
M,1995,2001,R1
M,2005,2008,R1
M,2000,2002,R1
M,1998,X,R1
M,2002,X,R1
M,2001,X,R1
M,1981,1986,R1
F,2010,2013,R1
M,2006,2011,R1
M,1982,X,R1
F,2002,2005,R1
M,1988,X,R1
M,2000,X,R1
M,1998,2003,R1
M,1969,1973,R1
F,1976,X,R1
M,2002,2008,R1
M,2002,X,R1
M,2008,X,R1
M,1970,X,R1
M,1988,X,R1
M,2003,2013,R1
F,1993,1999,R1
M,1991,1994,R1
M,X,1981,R1
M,2004,2008,R1
M,2001,2008,R1
M,2010,2012,R1
M,1996,2001,R1
M,1999,2006,R1
F,1989,1992,R1
M,X,X,R1
M,X,X,R1
M,X,X,R1
M,X,X,R1
M,1986,1993,R1
M,1979,1985,R1
F,2009,2012,R1
M,X,X,R1
M,1990,1998,R1
M,X,X,R1
F,2007,2010,R1
F,X,X,R1
M,1988,2014,R1
M,2006,2013,R1
F,2010,2015,R1
M,1976,X,R1
F,1980,X,R1
M,1973,X,R1
M,2008,2012,R1
M,1994,2000,R1
M,1988,X,R1
M,1981,1986,R1
F,1999,2004,R1
M,1976,1990,R1
M,2009,2013,R1
M,1988,1992,R1
M,1979,X,R1
M,X,X,R1
M,2002,X,R1
M,1973,X,R1
M,1974,1975,R1
M,1978,X,R1
M,1973,1975,R1
M,1957,X,R1
M,1982,X,R1
M,2000,2004,R1
M,X,X,R1
M,X,X,R1
M,X,X,R1
M,1978,1982,R1
M,2013,2016,R1
M,2002,2011,R1
M,1990,1994,R1
M,2009,2014,R1
M,1979,1980,R1
M,X,X,R1
F,2009,2013,R1
M,1996,2015,R1
M ,2003,X,R1
M,2002,2006,R1
M,X,X,R1
F,X,X,R1
M,X,X,R1
M,1977,1984,R1
M,2006,2013,R1
M,1997,2000,R1
M,X,X,R1
M,X,X,R1
M,X,X,R1
M,X,X,R1
M,2012,2016,R1
F,2012,2016,R1
M,X,X,R1
M,1988,1989,R1
M,1976,1979,R1
M,X,X,R1
M,1967,1969,R1
M,1974,1976,R1
M,1996,1997,R1
M,1982,X,R1
F,1987,1992,R1
M,1986,1990,R1
M,1993,X,R1
M,1990,1994,R1
F,2013,2016,R1
M,1992,1998,R1
M,X,X,R1
M,1975,2003,R1
M,1987,X,R1
M,2003,2007,R1
M,2000,2005,R1
F,1996,2011,R1
M,2004,X,R1
M,2010,2014,R1
M,1979,1988,R1
F,2005,2009,R1
M,1998,2005,R1
M,2006,2010,R1
M,2007,X,R1
M,2001,X,R1
M,2010,X,R1
M,1972,1983,R1
M,1978,X,R1
M,1976,X,R1
M,1987,1993,R1
M,X,X,R1
M,1991,1998,R1
M,1975,X,R1
M,2006,2009,R1